MATRICULA;NOME DO ESTUDANTE;TELEFONE DO ESTUDANTE;EMAIL DO ESTUDANTE;NOME DO RESPONSÁVEL 01 (MÃE);TELEFONE DO RESPONSÁVEL 01 (MÃE);EMAIL DO DO RESPONSÁVEL 01 (MÃE);NOME DO RESPONSÁVEL 02 (PAI);TELEFONE DO RESPONSÁVEL 02 (PAI);EMAIL DO DO RESPONSÁVEL 02 (PAI)
3411768;PEDRO GABRIEL SILVA;81993830460;pedro.gabriel.silva@exemplo.com;LUCAS PEDRO LIMA;81998135388;lucas.pedro.lima@exemplo.com;MATHEUS BIANCA PEREIRA;81995880665;matheus.bianca.perei@exemplo.com
3892792;ISABELLA GABRIEL OLIVEIRA;81994376333;isabella.gabriel.oli@exemplo.com;MIGUEL GABRIEL CAVALCANTE;81996320433;miguel.gabriel.caval@exemplo.com;LARISSA MATHEUS PEREIRA;81991434308;larissa.matheus.pere@exemplo.com
3685333;BIANCA MATHEUS PEREIRA;81995482694;bianca.matheus.perei@exemplo.com;LUCAS MIGUEL OLIVEIRA;81995350229;lucas.miguel.oliveir@exemplo.com;ISABELLA PEDRO LIMA;81996976897;isabella.pedro.lima@exemplo.com
3090650;MATHEUS PEDRO LIMA;81999451265;matheus.pedro.lima@exemplo.com;BIANCA LARISSA OLIVEIRA;81996027167;bianca.larissa.olive@exemplo.com;LUCAS MATHEUS COSTA;81999711177;lucas.matheus.costa@exemplo.com
3353596;BIANCA MIGUEL SILVA;81993497091;bianca.miguel.silva@exemplo.com;BIANCA SARA SANTOS;81998085044;bianca.sara.santos@exemplo.com;MATHEUS MIGUEL COSTA;81996698733;matheus.miguel.costa@exemplo.com
3302503;GABRIEL BIANCA SOUSA;81997195392;gabriel.bianca.sousa@exemplo.com;MATHEUS ISABELLA CAVALCANTE;81999046739;matheus.isabella.cav@exemplo.com;LUCAS ISABELLA COSTA;81997982072;lucas.isabella.costa@exemplo.com
3216047;PEDRO GABRIEL CAVALCANTE;81991198379;pedro.gabriel.cavalc@exemplo.com;LUCAS BIANCA LIMA;81994102429;lucas.bianca.lima@exemplo.com;PEDRO MIGUEL OLIVEIRA;81999101562;pedro.miguel.oliveir@exemplo.com
3611684;SARA MATHEUS LIMA;81999407592;sara.matheus.lima@exemplo.com;MATHEUS ISABELLA SILVA;81995165048;matheus.isabella.sil@exemplo.com;MATHEUS LARISSA COSTA;81992053497;matheus.larissa.cost@exemplo.com
3444406;LARISSA ISABELLA SANTOS;81998928344;larissa.isabella.san@exemplo.com;MATHEUS SARA LIMA;81994838104;matheus.sara.lima@exemplo.com;GABRIEL MIGUEL SOUSA;81994099808;gabriel.miguel.sousa@exemplo.com
3897346;GABRIEL SARA SOUSA;81993774812;gabriel.sara.sousa@exemplo.com;MIGUEL MIGUEL SOUSA;81993975514;miguel.miguel.sousa@exemplo.com;LUCAS MIGUEL SANTOS;81996573553;lucas.miguel.santos@exemplo.com
3916053;LUCAS MIGUEL SOUSA;81999493861;lucas.miguel.sousa@exemplo.com;MATHEUS MIGUEL OLIVEIRA;81995656702;matheus.miguel.olive@exemplo.com;PEDRO BIANCA SILVA;81997211228;pedro.bianca.silva@exemplo.com
3935350;BIANCA ISABELLA OLIVEIRA;81995792677;bianca.isabella.oliv@exemplo.com;LUCAS PEDRO SILVA;81997436610;lucas.pedro.silva@exemplo.com;GABRIEL LARISSA COSTA;81997756408;gabriel.larissa.cost@exemplo.com
3776468;GABRIEL GABRIEL COSTA;81995581883;gabriel.gabriel.cost@exemplo.com;LARISSA LUCAS CAVALCANTE;81995837975;larissa.lucas.cavalc@exemplo.com;ISABELLA SARA PEREIRA;81997936125;isabella.sara.pereir@exemplo.com
3819852;GABRIEL MATHEUS SOUSA;81999806869;gabriel.matheus.sous@exemplo.com;ISABELLA ISABELLA OLIVEIRA;81996324762;isabella.isabella.ol@exemplo.com;RAFAELA ISABELLA LIMA;81996110054;rafaela.isabella.lim@exemplo.com
3172058;PEDRO LARISSA PEREIRA;81994581403;pedro.larissa.pereir@exemplo.com;RAFAELA ISABELLA SILVA;81992886010;rafaela.isabella.sil@exemplo.com;RAFAELA MIGUEL OLIVEIRA;81991991823;rafaela.miguel.olive@exemplo.com
3411768;PEDRO GABRIEL SILVA;81993830460;pedro.gabriel.silva@exemplo.com;LUCAS PEDRO LIMA;81998135388;lucas.pedro.lima@exemplo.com;MATHEUS BIANCA PEREIRA;81995880665;matheus.bianca.perei@exemplo.com
3892792;ISABELLA GABRIEL OLIVEIRA;81994376333;isabella.gabriel.oli@exemplo.com;MIGUEL GABRIEL CAVALCANTE;81996320433;miguel.gabriel.caval@exemplo.com;LARISSA MATHEUS PEREIRA;81991434308;larissa.matheus.pere@exemplo.com
3685333;BIANCA MATHEUS PEREIRA;81995482694;bianca.matheus.perei@exemplo.com;LUCAS MIGUEL OLIVEIRA;81995350229;lucas.miguel.oliveir@exemplo.com;ISABELLA PEDRO LIMA;81996976897;isabella.pedro.lima@exemplo.com
3090650;MATHEUS PEDRO LIMA;81999451265;matheus.pedro.lima@exemplo.com;BIANCA LARISSA OLIVEIRA;81996027167;bianca.larissa.olive@exemplo.com;LUCAS MATHEUS COSTA;81999711177;lucas.matheus.costa@exemplo.com
3353596;BIANCA MIGUEL SILVA;81993497091;bianca.miguel.silva@exemplo.com;BIANCA SARA SANTOS;81998085044;bianca.sara.santos@exemplo.com;MATHEUS MIGUEL COSTA;81996698733;matheus.miguel.costa@exemplo.com
