MATRICULA;NOME DO ALUNO;TELEFONE;EMAIL;RESPONSÁVEL 1;TELEFONE RESP1;EMAIL RESP1;RESPONSAVEL 2;TELEFONE RESP 2;EMAIL RESP2
5314243;Maysa Cardoso;81933736577;maysa.cardoso@hotmail.com;Maria Clara Martins;81995114717;maria.clara.martins@hotmail.com;Gustavo Henrique Vieira;81929401343;gustavo.henrique.vieira@hotmail.com
9291774;Eduarda Cardoso;81933436459;eduarda.cardoso@hotmail.com;Helena da Paz;81990851711;helena.da.paz@gmail.com;Joao Miguel da Luz;81950147626;joao.miguel.da.luz@hotmail.com
1203885;Kaique Nascimento;81944889785;kaique.nascimento@hotmail.com;Nicole Barros;81956987516;nicole.barros@yahoo.com.br;Eduarda das Neves;81953712327;eduarda.das.neves@hotmail.com
4792397;Pedro Alves;81949585744;pedro.alves@gmail.com;Eduardo da Costa;81920472187;eduardo.da.costa@gmail.com;Ana Julia Santos;81984366088;ana.julia.santos@hotmail.com
3704515;Elisa Rodrigues;81925214507;elisa.rodrigues@hotmail.com;Joao Pedro Cardoso;81905355246;joao.pedro.cardoso@yahoo.com.br;Stella Martins;81947677023;stella.martins@gmail.com
7588032;Carolina Lopes;81972106138;carolina.lopes@gmail.com;Davi Lucas Barbosa;81956698467;davi.lucas.barbosa@hotmail.com;Calebe da Paz;81967562009;calebe.da.paz@hotmail.com
8444224;Dra. Isabella Farias;81948234012;dra..isabella.farias@hotmail.com;Lais Barros;81901717768;lais.barros@yahoo.com.br;Dr. Bernardo Pires;81968779890;dr..bernardo.pires@hotmail.com
6767756;Isaac da Rocha;81901222538;isaac.da.rocha@hotmail.com;Marcela Teixeira;81931309594;marcela.teixeira@hotmail.com;Sr. Joao Miguel Caldeira;81932943930;sr..joao.miguel.caldeira@hotmail.com
6218019;Ian Dias;81957318240;ian.dias@yahoo.com.br;Larissa da Rocha;81933254650;larissa.da.rocha@gmail.com;Davi Luiz Cardoso;81909035384;davi.luiz.cardoso@gmail.com
9809988;Isis da Mata;81988875506;isis.da.mata@gmail.com;Erick Gomes;81905459894;erick.gomes@yahoo.com.br;Mirella Novaes;81948498333;mirella.novaes@gmail.com
9404769;Srta. Sarah Freitas;81975225691;srta..sarah.freitas@hotmail.com;Nicole Barbosa;81965075064;nicole.barbosa@yahoo.com.br;Danilo Correia;81915317110;danilo.correia@gmail.com
6373779;Danilo Ribeiro;81958745611;danilo.ribeiro@hotmail.com;Ana Luiza Lopes;81973220512;ana.luiza.lopes@gmail.com;Rebeca Vieira;81994373361;rebeca.vieira@yahoo.com.br
8326287;Ana Livia Souza;81992193135;ana.livia.souza@hotmail.com;Ian Santos;81991859204;ian.santos@gmail.com;Joana Sales;81934566262;joana.sales@hotmail.com
6436161;Emanuel Lopes;81949998749;emanuel.lopes@hotmail.com;Kevin Pires;81978985583;kevin.pires@hotmail.com;Rafael Correia;81978262794;rafael.correia@hotmail.com
5906304;Lais Rocha;81951452056;lais.rocha@yahoo.com.br;Thales Nogueira;81909415673;thales.nogueira@gmail.com;Leandro Martins;81958416498;leandro.martins@yahoo.com.br
6983152;Lorenzo Ramos;81990582289;lorenzo.ramos@yahoo.com.br;Srta. Nicole Melo;81970473819;srta..nicole.melo@hotmail.com;Henrique Ribeiro;81960958691;henrique.ribeiro@hotmail.com
7192697;Yuri Moraes;81950284731;yuri.moraes@yahoo.com.br;Augusto Mendes;81907808909;augusto.mendes@gmail.com;Srta. Ana Sophia da Mata;81914286415;srta..ana.sophia.da.mata@gmail.com
4231227;Davi Luiz Goncalves;81906904409;davi.luiz.goncalves@gmail.com;Diogo Sales;81942332636;diogo.sales@gmail.com;Ana Vitoria Peixoto;81912215309;ana.vitoria.peixoto@yahoo.com.br
1447894;Lucas Gabriel Teixeira;81904897665;lucas.gabriel.teixeira@yahoo.com.br;Kaique Rocha;81905998956;kaique.rocha@yahoo.com.br;Sr. Paulo Campos;81909178503;sr..paulo.campos@gmail.com
9633130;Lavinia Barbosa;81972256021;lavinia.barbosa@gmail.com;Ana Carolina Costa;81969442356;ana.carolina.costa@gmail.com;Ana Julia Ramos;81937935688;ana.julia.ramos@gmail.com
6643238;Dr. Davi Lucas Nunes;81916165710;dr..davi.lucas.nunes@yahoo.com.br;Ana Clara Dias;81999478707;ana.clara.dias@yahoo.com.br;Thomas Almeida;81948268878;thomas.almeida@gmail.com
3264834;Augusto da Cruz;81970049460;augusto.da.cruz@yahoo.com.br;Sra. Lavinia Rodrigues;81939087424;sra..lavinia.rodrigues@gmail.com;Davi Nascimento;81927983938;davi.nascimento@gmail.com
1755263;Pedro Henrique Rocha;81997217621;pedro.henrique.rocha@gmail.com;Sabrina Silveira;81948345565;sabrina.silveira@gmail.com;Dra. Daniela Silveira;81990875459;dra..daniela.silveira@hotmail.com
3398955;Sofia Goncalves;81972851894;sofia.goncalves@hotmail.com;Murilo Cunha;81905592297;murilo.cunha@hotmail.com;Danilo Cunha;81990480262;danilo.cunha@hotmail.com
6555049;Lucas Gabriel da Cruz;81972335178;lucas.gabriel.da.cruz@gmail.com;Melissa Teixeira;81908842204;melissa.teixeira@hotmail.com;Emanuelly Fogaca;81930987816;emanuelly.fogaca@yahoo.com.br
6704168;Sr. Alexandre Oliveira;81943567867;sr..alexandre.oliveira@yahoo.com.br;Elisa Costela;81949110398;elisa.costela@hotmail.com;Elisa Gomes;81907446045;elisa.gomes@yahoo.com.br
